 Subj,#,Title,Comp Numb,Sec,Instructor
ASCI,2990,Special Topics,14746,A,"Vigoreaux, Jim Osvaldo"
ASCI,2990,Morgan Horse Farm Internship,15262,C,"Ballard, Catherine Stuart"
ASCI,2990,CL:Animal Shelters,15263,D,"Platzer, JoAnna M"
ASCI,2990,Applied Animal Behavior,15268,E,"Collins, Courtney "
ASCI,2990,Winter Dairy Travel Course,14747,WW1,"Wadsworth, Stephen T."
ASCI,2991,Internship,12260,A,"Maucieri, Abigail M"
ASCI,2993,Independent Study,12145,A,"Vigoreaux, Jim Osvaldo"
ASCI,2994,Teaching Assistantship,12146,A,"Vigoreaux, Jim Osvaldo"
ASCI,2995,Undergraduate Research,10226,A,"Vigoreaux, Jim Osvaldo"
ASCI,3040,Advanced Animal Nutrition,13070,A,"Cardoso Costa, Joao H"
ASCI,3040,Advanced Animal Nutrition,13165,L01,"Cardoso Costa, Joao H"
ASCI,3040,Advanced Animal Nutrition,14041,L02,"Cardoso Costa, Joao H"
ASCI,3040,Advanced Animal Nutrition,13164,L03,"Cardoso Costa, Joao H"
ASCI,3040,Advanced Animal Nutrition,14042,L04,"Cardoso Costa, Joao H"
ASCI,3150,Physiology of Reproduction,10800,A,"Nallasamy, Shanmugasundaram "
ASCI,3160,Bovine Reproduction Workshop,14739,A,"Maucieri, Abigail M"
ASCI,3160,Equine Reproduction Workshop,13066,B,"Ballard, Catherine Stuart"
ASCI,3300,CREAM Advising,13068,A,"Wadsworth, Stephen T."
ASCI,3355,Advanced Dairy Management,10437,A,"Ballard, Catherine Stuart"
ASCI,3600,Adv Top:Zoo Exotic Endang Spec,15270,A,"Collins, Courtney "
ASCI,3991,Internship,12829,A,"Maucieri, Abigail M"
ASCI,3993,Independent Study,12147,A,"Vigoreaux, Jim Osvaldo"
ASCI,3994,Teaching Assistantship,12148,A,"Vigoreaux, Jim Osvaldo"
ASCI,3995,Undergraduate Research,13630,A,"Vigoreaux, Jim Osvaldo"
ASCI,4990,Special Topics,14742,A,"Vigoreaux, Jim Osvaldo"
ASCI,4990,Equine mgmt & programming,14744,B,"Rohan, Christina Kaplan"
ASL,1100,American Sign Language I,10645,A,"Staffieri, Brittney Janelle"
ASL,1100,American Sign Language I,10645,A,"Staffieri, Brittney Janelle"
ASL,1100,American Sign Language I,10646,B,"Staffieri, Brittney Janelle"
ASL,1100,American Sign Language I,10646,B,"Staffieri, Brittney Janelle"
ASL,1100,American Sign Language I,12975,D,"Donnelly, Jillian C"
ASL,1100,American Sign Language I,12975,D,"Donnelly, Jillian C"
ASL,1100,American Sign Language I,13321,E,"Donnelly, Jillian C"
ASL,1100,American Sign Language I,13321,E,"Donnelly, Jillian C"
ASL,1100,American Sign Language I,13981,F,"Donnelly, Jillian C"
ASL,1100,American Sign Language I,13981,F,"Donnelly, Jillian C"
ASL,1100,American Sign Language I,14399,G,"Pirone, John "
ASL,1100,American Sign Language I,14399,G,"Pirone, John "
ASL,1100,American Sign Language I,16032,H,"Brown, Bradley W"
ASL,1100,American Sign Language I,16032,H,"Brown, Bradley W"
ASL,1100,American Sign Language I,11848,OL1,"Lalanne, Nicholas "
ASL,1100,American Sign Language I,12555,OL2,"Lalanne, Nicholas "
ASL,1100,American Sign Language I,12687,OL3,"Gember, Corey J"
ASL,1100,American Sign Language I,12687,OL3,"Gember, Corey J"
ASL,1100,American Sign Language I,15790,WQ1,"Lalanne, Nicholas "
ASL,1200,American Sign Language II,10643,A,"Washington-Shepard, Niesha "
ASL,1200,American Sign Language II,10643,A,"Washington-Shepard, Niesha "
ASL,1200,American Sign Language II,10644,B,"Staffieri, Brittney Janelle"
ASL,1200,American Sign Language II,10644,B,"Staffieri, Brittney Janelle"
ASL,1200,American Sign Language II,16036,C,"Lalanne, Nicholas "
ASL,1200,American Sign Language II,13557,OL1,"Lalanne, Nicholas "
ASL,1200,American Sign Language II,14568,OL3,"Lalanne, Nicholas "
ASL,1990,ASL I for Faculty/Staff,15836,OL1,"Lalanne, Nicholas "
ASL,2100,American Sign Language III,12557,A,"Staffieri, Brittney Janelle"
ASL,2100,American Sign Language III,12557,A,"Staffieri, Brittney Janelle"
ASL,2200,American Sign Language IV,12558,A,"Donnelly, Jillian C"
ASL,2200,American Sign Language IV,12558,A,"Donnelly, Jillian C"
ASL,2200,American Sign Language IV,16033,B,"Staffieri, Brittney Janelle"
ASL,2200,American Sign Language IV,16033,B,"Staffieri, Brittney Janelle"
ASL,2300,Understanding Deaf Culture,12363,A,"Pirone, John "
ASL,3200,American Sign Language VI,15342,B,"Donnelly, Jillian C"
ASL,3300,ASL Literature,15339,B,"Pirone, John "
ASL,3993,Independent Study,15921,A,"Pirone, John "
ASTR,1400,Exploring the Cosmos w/lab,14975,A,"Perry, John F."
ASTR,1400,Exploring the Cosmos w/lab,14976,L01,"Pepe, Jason "
ASTR,1400,Exploring the Cosmos w/lab,14977,L02,"Pepe, Jason "
ASTR,1400,Exploring the Cosmos w/lab,14978,L03,"Pepe, Jason "
ASTR,1405,Exploring the Cosmos,10115,A,"Perry, John F."
ASTR,1990,Exploring the Cosmos Lab,15950,A,"Perry, John F."
ASTR,2120,Spacecraft Astronomy,14979,A,"Perry, John F."
BCOR,1450,Exploring Biology 2,13865,A,"Mikucki, Emily E."
BCOR,1450,Exploring Biology 2,10496,B,"Mikucki, Emily E."
BCOR,1450,Exploring Biology 2,10013,C,"Wittman, Sarah Elizabeth"
BCOR,1450,Exploring Biology 2,10723,D,"Lima, Raquel Asuncion"
BCOR,1450,Exploring Biology 2,10014,E,"Lima, Raquel Asuncion"
BCOR,1450,Exploring Biology 2,10015,F,"Lima, Raquel Asuncion"
BCOR,1450,Exploring Biology 2,10016,L01,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10017,L02,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10018,L03,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10019,L04,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10020,L05,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,12281,L06,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10022,L07,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10021,L08,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10024,L09,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10023,L10,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10026,L11,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10025,L12,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,12551,L13,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10027,L14,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10029,L17,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10030,L18,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10031,L19,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10032,L20,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10033,L21,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10280,L23,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,10853,L24,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,12280,L25,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13868,L26,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13869,L27,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13870,L29,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13434,Z01,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13435,Z02,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13436,Z03,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13437,Z04,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13438,Z05,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13439,Z06,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13440,Z07,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13441,Z08,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13442,Z09,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13443,Z10,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13444,Z11,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13445,Z12,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13446,Z13,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13447,Z14,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13450,Z17,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13451,Z18,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13452,Z19,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13453,Z20,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13454,Z21,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13455,Z23,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13456,Z24,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13457,Z25,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13871,Z26,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13872,Z27,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13873,Z29,"Martinsen, Ellen Sarah"
BCOR,1450,Exploring Biology 2,13867,ZRA,"Mikucki, Emily E."
BCOR,1450,Exploring Biology 2,13429,ZRB,"Mikucki, Emily E."
BCOR,1450,Exploring Biology 2,13430,ZRC,"Wittman, Sarah Elizabeth"
BCOR,1450,Exploring Biology 2,13431,ZRD,"Lima, Raquel Asuncion"
BCOR,1450,Exploring Biology 2,13432,ZRE,"Lima, Raquel Asuncion"
BCOR,1450,Exploring Biology 2,13433,ZRF,"Lima, Raquel Asuncion"
BCOR,2100,SU: Ecology and Evolution,10043,A,"Stratton, Donald A"
BCOR,2100,Ecology and Evolution,10044,A01,"Stratton, Donald A"
BCOR,2100,Ecology and Evolution,10045,A02,"Stratton, Donald A"
BCOR,2100,Ecology and Evolution,11755,A03,"Stratton, Donald A"
BCOR,2100,Ecology and Evolution,10832,A04,"Stratton, Donald A"
BCOR,2100,SU: Ecology and Evolution,10953,ZRA,"Stratton, Donald A"
BCOR,2300,Genetics,10034,A,"Pespeni, Melissa Helen"
BCOR,2300,Genetics,10038,A01,"Pespeni, Melissa Helen"
BCOR,2300,Genetics,10037,A02,"Pespeni, Melissa Helen"
BCOR,2300,Genetics,10039,A03,"Pespeni, Melissa Helen"
BCOR,2300,Genetics,10281,A04,"Pespeni, Melissa Helen"
BCOR,2300,Genetics,12279,A05,"Pespeni, Melissa Helen"
BCOR,2300,Genetics,10041,A06,"Pespeni, Melissa Helen"
BCOR,2300,Genetics,10036,A07,"Pespeni, Melissa Helen"
BCOR,2300,Genetics,10035,A08,"Pespeni, Melissa Helen"
BCOR,2300,Genetics,10040,A09,"Pespeni, Melissa Helen"
BCOR,2300,Genetics,10042,A10,"Pespeni, Melissa Helen"
BCOR,2300,Genetics,10952,ZRA,"Pespeni, Melissa Helen"
BCOR,2500,Molecular & Cell Biology w/lab,10047,A,"Plouffe, Rachel B"
BCOR,2500,Molecular & Cell Biology w/lab,10048,A01,"Plouffe, Rachel B"
BCOR,2500,Molecular & Cell Biology w/lab,10049,A02,"Plouffe, Rachel B"
BCOR,2500,Molecular & Cell Biology w/lab,10050,A03,"Plouffe, Rachel B"
BCOR,2500,Molecular & Cell Biology w/lab,10051,A04,"Plouffe, Rachel B"
BCOR,2500,Molecular & Cell Biology w/lab,10052,A05,"Plouffe, Rachel B"
BCOR,2500,Molecular & Cell Biology w/lab,10053,A06,"Plouffe, Rachel B"
BCOR,2500,Molecular & Cell Biology w/lab,10054,A07,"Plouffe, Rachel B"
BCOR,2500,Molecular & Cell Biology w/lab,10055,A08,"Plouffe, Rachel B"
BCOR,2500,Molecular & Cell Biology w/lab,10503,A09,"Plouffe, Rachel B"
BCOR,2500,Molecular & Cell Biology w/lab,10954,ZRA,"Plouffe, Rachel B"
BCOR,2505,Molecular & Cell Biology,12744,A,"Plouffe, Rachel B"
BCOR,2505,Molecular & Cell Biology,13564,ZRA,"Plouffe, Rachel B"
BCOR,2995,Undergraduate Research,12652,A,"Stratton, Donald A"
BCOR,3000,Biology in Practice,13770,A,"Brody, Alison Kay"
BCOR,3995,Undergraduate Research,12653,A,"Stratton, Donald A"
BCOR,4994,Teaching Assistantship,14953,A,"Martinsen, Ellen Sarah"
BHSC,1340,Human Cell Biology,12869,A,"Scheiber, Melissa N"
BHSC,1340,Human Cell Biology,12870,A01,"Dean, Allison Darling"
BHSC,1340,Human Cell Biology,12871,A02,"Ray, Koela "
BHSC,1340,Human Cell Biology,12872,A03,"Dean, Allison Darling"
BHSC,1340,Human Cell Biology,12873,A04,"Dean, Allison Darling"
BHSC,1980,Intro to Scientific Writing,12874,A,"Scheiber, Melissa N"
BHSC,1980,Intro to Scientific Writing,13951,B,"Karnes, Jaime L"
BHSC,1980,Intro to Scientific Writing,15244,C,"Dean, Allison Darling"
BHSC,1980,Intro to Scientific Writing,15441,D,"Karnes, Jaime L"
BHSC,2400,Radiation Science,13382,A,"Allen, Kenneth D."
BHSC,2400,Radiation Science,13382,A,"Allen, Kenneth D."
BHSC,2994,Teaching Assistantship,12875,A,"Amiel, Eyal "
BHSC,2995,Undergraduate Research,13519,A,"Amiel, Eyal "
BHSC,3420,Immunology,15248,A,"Krementsov, Dimitry N."
BHSC,3440,Immunology Lab,12879,A,"Ray, Koela "
BHSC,3993,Independent Study,12894,A,"Amiel, Eyal "
BHSC,3993,Independent Study,12894,A,"Amiel, Eyal "
BHSC,3993,Independent Study,12894,A,"Amiel, Eyal "
BHSC,3993,Independent Study,12894,A,"Amiel, Eyal "
BHSC,3994,Teaching Assistantship,12880,A,"Amiel, Eyal "
BHSC,3995,Undergraduate Research,13531,A,"Amiel, Eyal "
BHSC,5440,Gr Immunology Lab,15356,A,"Ray, Koela "
BIOC,1011,Biochem: Modern Perspect II,12938,A,"Quenet, Delphine C"
BIOC,2995,Undergraduate Research,10362,A,"Everse, Stephen "
BIOC,2995,Undergraduate Research,13026,B,"Everse, Stephen "
BIOC,2995,Undergraduate Research,15980,C,"Howe, Alan "
BIOC,3001,Fundamentals of Biochemistry,12936,A,"Everse, Stephen "
BIOC,3001,Fundamentals of Biochemistry,12937,ZRA,"Everse, Stephen "
BIOC,3006,Biochemistry II,10363,A,"Francklyn, Christopher Steward"
BIOC,3006,Biochemistry II,10363,A,"Francklyn, Christopher Steward"
BIOC,3006,Biochemistry II,10856,ZRA,"Francklyn, Christopher Steward"
BIOC,3006,Biochemistry II,10856,ZRA,"Francklyn, Christopher Steward"
BIOC,3007,Biochemistry Lab,12269,A,"Silveira, Jay Roberts"
BIOC,3007,Biochemistry Lab,12269,A,"Silveira, Jay Roberts"
BIOC,3007,Biochemistry Lab,12272,B,"Silveira, Jay Roberts"
BIOC,3007,Biochemistry Lab,12272,B,"Silveira, Jay Roberts"
BIOC,3007,Biochemistry Lab,12274,C,"Silveira, Jay Roberts"
BIOC,3007,Biochemistry Lab,12274,C,"Silveira, Jay Roberts"
BIOC,3007,Biochemistry Lab,12271,ZRA,"Silveira, Jay Roberts"
BIOC,3007,Biochemistry Lab,12271,ZRA,"Silveira, Jay Roberts"
BIOC,3007,Biochemistry Lab,12273,ZRB,"Silveira, Jay Roberts"
BIOC,3007,Biochemistry Lab,12273,ZRB,"Silveira, Jay Roberts"
BIOC,3007,Biochemistry Lab,12275,ZRC,"Silveira, Jay Roberts"
BIOC,3007,Biochemistry Lab,12275,ZRC,"Silveira, Jay Roberts"
BIOC,3063,Nutritional Biochemistry,11782,A,"Hondal, Robert J."
BIOC,3993,Independent Study,15789,A,"Everse, Stephen "
BIOC,3994,Teaching Assistantship,15828,B,"Silveira, Jay Roberts"
BIOC,3995,Undergraduate Research,11898,A,"Everse, Stephen "
